,Datetime,Stock,Entry Price,Exit Price,Exit Time,PnL
0,2022-04-08 10:00:00,sz.000519,21.03,21.4506,11:30:00,0.020000000000000014
1,2022-04-11 10:00:00,sz.002028,29.56,29.4122,11:00:00,-0.005000000000000005
2,2022-04-11 10:00:00,sh.603290,334.41,332.73795,11:00:00,-0.005000000000000038
3,2022-04-11 10:00:00,sz.002985,65.64,65.3118,11:00:00,-0.00499999999999993
4,2022-04-11 10:00:00,sz.002506,3.33,3.3133500000000002,11:00:00,-0.004999999999999949
5,2022-04-11 10:00:00,sh.600885,43.61,43.38,15:00:00,-0.005274019720247578
6,2022-04-12 10:00:00,sh.600056,26.8,26.666,11:00:00,-0.005000000000000012
7,2022-04-12 10:00:00,sz.000028,30.91,31.47,15:00:00,0.018117114202523415
8,2022-04-12 10:00:00,sh.600460,40.93,40.72535,11:00:00,-0.005000000000000022
9,2022-04-13 10:00:00,sz.300699,50.06,49.8097,14:00:00,-0.0050000000000000565
10,2022-04-13 10:00:00,sh.600563,156.06,155.2797,14:30:00,-0.005000000000000071
11,2022-04-13 10:00:00,sz.002920,97.07,96.58465,14:30:00,-0.004999999999999968
12,2022-04-13 10:00:00,sz.300058,7.44,7.4028,11:00:00,-0.005000000000000046
13,2022-04-13 10:00:00,sz.002589,4.37,4.34815,11:00:00,-0.004999999999999932
14,2022-04-14 10:00:00,sh.600195,10.91,11.05,15:00:00,0.012832263978001884
15,2022-04-14 10:00:00,sh.600460,39.51,40.3002,13:30:00,0.01999999999999997
16,2022-04-14 10:00:00,sh.603260,86.87,88.60740000000001,14:30:00,0.02000000000000009
17,2022-04-14 10:00:00,sh.603290,304.4,310.488,13:30:00,0.020000000000000073
18,2022-04-14 10:00:00,sh.600563,155.38,154.60309999999998,11:00:00,-0.005000000000000076
19,2022-04-15 10:00:00,sz.000537,12.75,13.005,11:00:00,0.020000000000000063
20,2022-04-15 10:00:00,sz.000739,23.9,24.378,11:30:00,0.020000000000000066
21,2022-04-15 10:00:00,sz.000997,14.3,14.2285,11:00:00,-0.0050000000000000235
22,2022-04-15 10:00:00,sz.300113,11.3,11.243500000000001,11:30:00,-0.004999999999999979
23,2022-04-15 10:00:00,sz.300182,4.98,4.955100000000001,11:00:00,-0.004999999999999939
24,2022-04-18 10:00:00,sz.002233,9.98,9.98,15:00:00,0.0
25,2022-04-18 10:00:00,sh.600329,21.68,22.1136,14:30:00,0.02000000000000009
26,2022-04-18 10:00:00,sh.600466,2.01,1.9999499999999997,13:30:00,-0.005000000000000057
27,2022-04-18 10:00:00,sz.000681,13.7,13.974,13:30:00,0.020000000000000066
28,2022-04-18 10:00:00,sz.300630,27.85,28.407000000000004,11:00:00,0.020000000000000077
